col1,col2
第13回公演メドウサの首__337,po00251300.jpg
第10回英語劇の夕ドーヴァー街道__338,po00251400.jpg
第12回英語劇─Life with Father　おやじとともに─__339,po00251500.jpg
第13回英語劇わかれ__340,po00251800.jpg
貯蓄増強中央委員会__341,po00100100.jpg
新人実演大会__342,po00205000.jpg
北洋博__343,po00248100.jpg
印度国際観光物産見本市__344,po00248300.jpg
神戸海上運送火災保険株式会社__345,po00096100.jpg
リボンシトロン__346,po00105200.jpg
住みよい社会をつくる郵便貯金__347,po00028500.jpg
友愛は心の財産　__348,po00029100.jpg
北海道イメージアップ__350,po00221700.jpg
懐かしのおもちゃ展__351,po00080300.jpg
函館精養軒の包装紙__352,po00054900.jpg
岩船呉服店の包装紙__353,po00055000.jpg
荻野呉服店の包装紙__354,po00055100.jpg
荻野呉服店の包装紙__355,po00055200.jpg
精養軒の包装紙__356,po00055300.jpg
亀井信盛堂の包装紙__357,po00055400.jpg
ヤマトヤ商店の包装紙__358,po00055500.jpg
風月堂の包装紙__359,po00055600.jpg
秋月堂の包装紙__360,po00055700.jpg
風月堂田村商店の包装紙__361,po00055800.jpg
阿みや履物店の包装紙__362,po00055900.jpg
藤井土産店の包装紙__363,po00056000.jpg
ハコダテヤの包装紙__364,po00056100.jpg
トラピスト乳製品の包装紙__365,po00056200.jpg
丸越　白崎分店の包装紙__366,po00056300.jpg
長峰商店の包装紙__367,po00056400.jpg
丸安　安田商店調製の包装紙__368,po00056500.jpg
金森大正堂の包装紙__369,po00056600.jpg
函館ボーニ　荻野呉服店の包装紙__370,po00056700.jpg
松屋呉服店の包装紙__371,po00056800.jpg
近江屋呉服店の包装紙__372,po00056900.jpg
函館　今井呉服店の包装紙__373,po00057000.jpg
中村呉服店の包装紙__374,po00057100.jpg
西田屋パンの包装紙__375,po00057200.jpg
青柳軒の包装紙__376,po00057300.jpg
古西商店の包装紙__377,po00057400.jpg
寺井陶器店の包装紙__378,po00057500.jpg
小西洋品店の包装紙__379,po00057600.jpg
赤のれん洋反物店の包装紙__380,po00057700.jpg
ハマノ薬房の包装紙__381,po00057800.jpg
正札堂の包装紙__382,po00057900.jpg
田中茶舗の包装紙__383,po00058000.jpg
トラピスト乳製品の包装紙__384,po00058100.jpg
牛鳥　和洋御料理の包装紙__385,po00058200.jpg
トモエヤの包装紙__386,po00058300.jpg
ネボケ堂の包装紙__387,po00058400.jpg
サムライ呉服店の包装紙__388,po00058500.jpg
センシユウアンの包装紙__389,po00058600.jpg
トモエヤの包装紙__390,po00058700.jpg
新田完一商店の包装紙__391,po00058800.jpg
風月堂　田村松五郎の包装紙__392,po00058900.jpg
千利庵の包装紙__393,po00059000.jpg
早坂洋品店の包装紙__394,po00059100.jpg
赤のれんモスリン店の包装紙__395,po00059200.jpg
寺井陶器店の包装紙__396,po00059300.jpg
安田商店の包装紙__397,po00059400.jpg
伊月洋物店の包装紙__398,po00059500.jpg
サカモトの包装紙__399,po00059600.jpg
函館今井呉服店の包装紙__400,po00059700.jpg
共益商社の包装紙__401,po00059800.jpg
白木屋呉服店の包装紙__402,po00059900.jpg
松吉政吉商店の包装紙__403,po00060000.jpg
柳栄堂の包装紙__404,po00060100.jpg
富屋北川商店の包装紙__405,po00060200.jpg
浪花屋の包装紙__406,po00060300.jpg
成木屋呉服店の包装紙__407,po00060400.jpg
成木屋呉服店の包装紙__408,po00060500.jpg
函館今井呉服店の包装紙__409,po00060600.jpg
柳栄堂の包装紙__410,po00060700.jpg
函館サカモトの包装紙__411,po00060800.jpg
函館サカモトの包装紙__412,po00060900.jpg
浪花屋の包装紙__413,po00061000.jpg
浪花屋の包装紙__414,po00061100.jpg
函館　荻野呉服店の包装紙__415,po00061200.jpg
極光社書店の包装紙__416,po00061300.jpg
極光社書店の包装紙__417,po00061400.jpg
西川洋品店の包装紙__418,po00061500.jpg
大丸呉服店の包装紙__419,po00061600.jpg
三越呉服店の包装紙__420,po00061700.jpg
函館　風月堂の包装紙__421,po00061800.jpg
大島商会の包装紙__422,po00061900.jpg
石塚増太郎商店の包装紙__423,po00062000.jpg
松屋呉服店の包装紙__424,po00062100.jpg
小林洋服店の包装紙__425,po00062200.jpg
林屋商舗の包装紙__426,po00062300.jpg
松坂屋いとう呉服店の包装紙__427,po00062400.jpg
松坂屋いとう呉服店の包装紙__428,po00062500.jpg
五番館の包装紙__429,po00062600.jpg
養和軒の包装紙　__430,po00062700.jpg
榛原直次郎の包装紙__431,po00062800.jpg
玉川呉服店の包装紙__432,po00062900.jpg
小西洋品店の包装紙__433,po00063000.jpg
白木屋呉服店の包装紙__434,po00063100.jpg
桐生織物同業組合・邑楽織物同業組合・伊勢崎織物同業組合・群馬懸生絹太織商同業組合の包装紙__435,po00063200.jpg
イツキ洋品店の包装紙__436,po00063300.jpg
松屋呉服店の包装紙__437,po00063400.jpg
長嶋洋品店の包装紙__438,po00063500.jpg
信盛堂呉服店の包装紙__439,po00063600.jpg
河村蒲団店の包装紙__440,po00063700.jpg
菊水総本店の包装紙__441,po00063800.jpg
マルキ号本店の包装紙__442,po00063900.jpg
白崎分店の包装紙__443,po00064000.jpg
福助饂飩の包装紙__444,po00064100.jpg
秋月堂の包装紙__445,po00064200.jpg
荻野呉服店の包装紙__446,po00064300.jpg
竹田洋品店の包装紙__447,po00064400.jpg
寺井商店の包装紙__448,po00064500.jpg
加藤呉服店の包装紙__449,po00064600.jpg
菊水売店の包装紙__450,po00064700.jpg
西堀書店の包装紙__451,po00064800.jpg
高橋商店の包装紙__452,po00064900.jpg
西堀書店の包装紙__453,po00065000.jpg
カナメ屋の包装紙__454,po00065100.jpg
トモエヤの包装紙__455,po00065200.jpg
今井呉服店の包装紙　__456,po00065300.jpg
カネモリ洋物店の包装紙__457,po00065400.jpg
近江屋呉服店の包装紙__458,po00065500.jpg
陸軍御用甲子屋の包装紙__459,po00065600.jpg
西堀近江堂の包装紙__460,po00065700.jpg
成木屋呉服店の包装紙__461,po00065800.jpg
やまぶきの包装紙__462,po00065900.jpg
やまぶきの包装紙__463,po00066000.jpg
岩船呉服店の包装紙　1～2__464,po00066100.jpg
今井呉服洋物店の包装紙　1～2__465,po00066200.jpg
今井呉服洋物店の包装紙　1～3__466,po00066300.jpg
萩野呉服店の包装紙__467,po00066400.jpg
今井呉服店の包装紙__468,po00066500.jpg
風月堂田村商店の包装紙　1～2__469,po00066600.jpg
ネボケ堂の包装紙　1～2__470,po00066700.jpg
今井呉服洋物店の包装紙　1～6__471,po00066800.jpg
松屋呉服店の包装紙　1～2__472,po00066900.jpg
センシュウアンの包装紙　1～6__473,po00067000.jpg
今井呉服洋物店の包装紙　1～3__474,po00067100.jpg
三越呉服店の包装紙__475,po00067200.jpg
白木屋呉服店の包装紙__476,po00067300.jpg
白木呉服店の包装紙__477,po00067400.jpg
ハコダテヤの包装紙__478,po00067500.jpg
中村呉服店の包装紙__479,po00067600.jpg
大山商店の包装紙__480,po00067700.jpg
吉田屋モスリン店の包装紙__481,po00067800.jpg
早坂洋品店の包装紙__482,po00067900.jpg
児童百貨店トモエヤの包装紙__483,po00068000.jpg
今井呉服店の包装紙　1～4__484,po00068100.jpg
今井呉服洋物店の包装紙　1～9__485,po00068200.jpg
今井呉服洋物店の包装紙__486,po00068300.jpg
精養軒の包装紙　__487,po00068400.jpg
岩船呉服店の包装紙__488,po00068500.jpg
白木屋呉服店の包装紙　1～2__489,po00068600.jpg
岩船呉服店の包装紙__490,po00068700.jpg
2006特別企画展　没後20年 梁川剛一__491,po00258800.jpg
市立函館博物館平成22年度特別展　縄文の至宝__492,po00404800.jpg
特別展　日本の玩具__493,po00409400.jpg
戊辰戦争終結130周年　戊辰戦争　鳥羽・伏見から箱館まで__494,po00411800.jpg
特別企画展　古地図にみる北海道__495,po00412900.jpg
函館山__496,po00414200.jpg
開港112年　函館港まつり__497,po00000100.jpg
